Ruby, https://www.ruby-lang.org/en/documentation/quickstart/, Ruby in Twenty Minutes
Ruby, http://ruby-doc.org/docs/Tutorial/, The Ruby DOC Introduction to Ruby
Python, http://docs.python.org/2/tutorial/, The Python Tutorial
Python, http://www.learnpython.org/, Learn Python interactive Tutorial
Python, http://www.tutorialspoint.com/python/, Tutorialspoint Java tutorials
Perl, http://www.tutorialspoint.com/perl/, Tutorialspoint Perl tutorials
PHP, http://php.net/manual/en/tutorial.php, PHP: a Simple Tutorial
Objective C, http://www.otierney.net/objective-c.html, Objective C beginner's Guide
Objective C, http://howtomakeiphoneapps.com/objective-c-tutorial/, The objective C programming tutorials
Objectice C, http://objectivectutorial.org/, The Objective C tutorial
JavaScript, http://www.webteacher.com/javascript/, JavaScript for the Total Non-Programmer
JavaScript, http://www.w3schools.com/js/default.asp, W3 Schools Javascript Tutorial
Java, http://www.tutorialspoint.com/java/, Tutorialspoint Java tutorials
Java, http://docs.oracle.com/javase/tutorial/, The Java Tutorials
Java, http://www.learnjavaonline.org/, LearnJavaOnline.org Interactive Java Tutorial
COBOL, http://cobol.404i.com/, The ZingCOBOL beginners guide to COBOL Programming
C++, http://www.tutorialspoint.com/cplusplus/, Tutorialspoint Java tutorials
C++, http://www.learncpp.com/, The LearnCPP C++ Tutorial
C++, http://www.cplusplus.com/doc/tutorial/, cplusplus.com C++ tutorials
C#, http://msdn.microsoft.com/en-us/library/aa288436%28v=vs.71%29.aspx, Microsoft C#
